rank,run_id,track,rank_status,budget_tier,candidate_count,selected_model_policy,mean_score,eligible_targets,ok_targets,missing_targets,failed_targets,partial_candidate_targets,metric_unavailable_targets,artifact_path
,server_v2_attack_scoreable_defaultparams_shard05_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_defaultparams_shard06_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_antibody_fv_shard01_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_antibody_fv_shard02_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_antibody_fv_shard03_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_antibody_fv_shard04_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_antibody_fv_shard05_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_antibody_fv_shard06_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_defaultparams_shard01_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_defaultparams_shard02_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_defaultparams_shard03_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_defaultparams_shard04_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_defaultparams_shard05_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_defaultparams_shard06_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard01_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,70,1,1,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard02_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,70,1,1,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard03_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,68,3,3,0,
